index,slug,title,descripotion,year,,,,,,,,
0,150_artists,150 artists,,2013,performance,,,,,,,
1,1_week_of_my_life_collage,1 week of my life: collage,,2013,data visualization,illustration,generative design,print,system,,,
2,1_week_of_my_life_color__breathing_,1 week of my life: color breathing,,2013,data visualization,illustration,generative design,website,system,,,
3,1_week_of_my_life_poem,1 week of my life: poem,,2013,data visualization,generative design,website,generative text,generative poem,,,
4,1_week_of_my_life_publication,1 week of my life: publication,,2013,data visualization,book ,generative design,system,generative book,basil-js,,
5,2001_a_space_odyssey_audio_design,2001 a space odyssey: audio design,,2013,generative audio,system,,,,,,
6,2001_a_space_odyssey_round_1,2001 a space odyssey: round 1,,2013,poster,generative design,system,typography,photography,screen,analogue glitch,
7,2001_a_space_odyssey_round_2,2001 a space odyssey: round 2,,2013,poster,system,typography,digital glitch,,,,
8,2001_a_space_odyssey_round_3,2001 a space odyssey: round 3,,2013,poster,generative design,system,typography,photography,screen,analogue glitch,VHS
9,2001_a_space_odyssey_round_4,2001 a space odyssey: round 4,,2013,poster,generative design,system,photography,screen,analogue glitch,,
10,20th_century,20th century,,2013,performance,system,collaborative design,,,,,
11,amir_as_wittgenstein,amir as wittgenstein,,,,,,,,,,
12,archive_of_nostalgia,archive of nostalgia,,2013,website,archive design,,,,,,
13,blow_up_,blow up,,2012,video,stop motion,system,screen,analogue glitch,process design,,
14,book_spread,book spread,,2017,book,typography,,,,,,
15,canvas,canvas,,2014,website,generative design,,,,,,
16,chomunt_poster,chomunt poster,,2014,poster,generative design,typography,generative print,website,,,
17,circle,circle,,2014,performance,,,,,,,
18,dhs_poster,dhs poster,,2014,poster,generative design,typography,generative print,wikipedia,,,
19,drawing_machine,drawing machine,,2013,installation,generative drawing,analogue glitch,system,,,,
20,fontbook,fontbook,,2012,data visualization,book ,generative design,system,generative book,basil-js,,
21,generated_posters,generated posters,,2014,poster,generative design,typography,generative print,,,,
22,gol_o_morgh,gol o morgh,,2013,poster,generative design,digital glitch,,,,,
23,gray,gray,,2013,website,,,,,,,
24,happiness,happiness,,2014,website,data scraping,generative narrative,,,,,
25,historical_image,historical image,,2012,illustration,,,,,,,
26,hoax,hoax,,2014,process,,,,,,,
27,letter_animation_,letter animation,,2018,generative narrative,data visualization,text visualization,,,,,
28,letterstudio,letterstudio,,2015,type design,,,,,,,
29,mobile_poster,mobile poster,,2014,poster,process design,system,collaborative design,,,,
30,moral_identity,moral identity,,2007,poster,system,research,,,,,
31,new_currency_text_society,new currency text society,,2013,website,system,generative narrative,generative content,,,,
32,planing_of_time,planing of time,,2012,,,,,,,,
33,prove_me_wrong,prove me wrong,,2014,website,generative design,,,,,,
34,recursive_logo,recursive logo,,2013,,,,,,,,
35,region,region,,2013,book,research,typography,system,generative narrative,generative content,,
36,research-tracker,research-tracker,,2014,browser extension,research,book,web surfing,data pollution,UI/UX,information consumption,
37,self_portrait,self portrait,,2013,video,system,skype glitch,,,,,
38,sorted_poster,sorted poster,,2013,poster,generative design,,,,,,
39,space,space,,2014,illustration,system,drawing,,,,,
40,system_design,system design,,2012,poster,system,illustration,,,,,
41,text_and_space,text and space,,2013,spatial design,data visualization,text visualization,generative narrative,generative space,,,
42,text_mondrian,text mondrian,,2013,data visualization,text visualization,system,poster,generative content,,,
43,tomorrow_book,tomorrow book,,2014,research,web surfing,online reader,UI/UX,information consumption,website,data scraping,wikipedia
44,typobike,typobike,,2013,illustration,typography,system,,,,,
45,vavav_band,vavav band,,2014,illustration,generative design,,,,,,
46,pixelator,pixelator,,2016,generative type,drawbot,,,,,,
